"Timestamp","Career_Stage","Yr_lead","Yr_field","Yr_super","Where","Before_ActPhys","During_ActPhys","Before_ActInter","During_ActInter","After_act","Volunteer","Success","Challenges","Gen_Advice","Resources_grad","Policies","Other"
"2021/11/25 9:17:57 AM CST","Graduate Student",1,5,0,"Semi-remote (ie, wildlands near cities)","At the very beginning of the season, ensure that all crew members are capable and comfortable operating all equipment with a special focus on GPS or other spatial tools. ","Weekly check-ins to ensure that all crew members are comfortable and don't have any new questions or issues arising. More often could be appropriate for some types of work.","Train all team members together, even if some are returning or have previous experience relevant to the project. Small team-building events, like group dinners or similar.","Ensure that the leader is a safe person to come to with concerns about team members. If the crew splits up, the leader should join different crew members throughout the season. ","For those new to leading a crew, asking later on how the crew members felt during the season, and if there was anything they could have improved.","Volunteers are held to a slightly lower standard than students or employees -- for example, I might not expect a volunteer to hike three miles in waders, but a student and an employee would. I would also generally expect improvement across the season for all crew members if they are there more than a day, but one-time volunteers obviously will be less skilled.","It was a crew of two, and though there was a leader (not me), it felt like decisions were made together, not unilaterally.","Interpersonal conflicts. One crew member was not well-liked by the others, which made it difficult to pair people up each day. Eventually, that ""unlikeable"" crew member felt so pressured and judged (they were slower than others at most tasks), that they made up data instead of taking the time to collect it properly.","Hire your own crew members, don't let your advisor do it for you. Personalities matter. Always thoroughly check references. Post your positions early. Pay as much as you possibly can in order to get the best applicants.","No, just talk to other students in your program who've hired and led crews before. They'll be a good resource.","",""
"2021/11/26 1:57:08 AM CST","Professional",2,4,1,"Semi-remote (ie, wildlands near cities)","Make sure you have your gear","Have checklists","Make Checklists and safety protocols","Build relationships","Build relationships","Pay them more and get paid more myself!","Planning, multiple people taking on different specific tasks, making sure people are not burning out of fieldwork","Leaders or bosses having remote control when they don’t even experience what is going on in the field with the weather or other safety concerns telling you what to do.","Relationships are the most important!","None","None",""
"2021/11/26 10:26:13 AM CST","Postdoctoral researcher",4,12,0,"Remote environments","Create open dialog about expectations, explain in detail the nature and duration of the work, have proper ppe and first aid supplies","Check in with a crew about there physical well-being, demonstrate good and safe practices","Create a space for feedback and open dialogue, identify people who can help with interpersonal issues, ","Have one-on-ones with a field crew, if issues arise see if you can do conflict resolution of reassign members of the team to different tasks","Get feedback from crew members, ensure samples and equipment are in good order and put back, ","Generally, I have lower expectations about the amount of work or the difficultly of work that can be done with volunteers. With volunteers it is more about engaging with the public as a form of education and outreach.","Well organized, long days but with ample time off, open dialogue and trust and respect among members","Unable to take time off, unable to communicate with superiors about concerns, lack of logistic or scientific support for students","Take time for yourself. Make sure you can get real time feedback from your PI that will be constructive and respectful. Be kind, supportive, and understanding to you technicians. ","","",""
"2021/11/27 10:31:20 AM CST","Graduate Student",3,4,0,"All Three","Shakedown or practice trips with the truck and gps navigation, with each crew member 'in charge'; Identify main roads, settlements, and 'trouble spots' for navigation, evacuation etc.; Check over equipment in detail and verify complete working order.","Make a plan for each day; keep physical sight of crewmembers if possible; be very willing to say no to a situation when warranted - turn the truck around and stop sampling if conditions or weather are risky.","Spend some time in the office with your crew; talk about personal stuff; get food together, or even better, cook for them.","Make sure they're eating and drinking; give plenty of alone time after work hours, if desired; listen and accept input, accommodate crew preferences over your own where possible.","Give positive feedback, support further career efforts, solicit nd implement suggesitons","Volunteers get kid-glove treatment. If they don't want to work, they don't have to; they do the fun stuff and I do the hard work. The other two get accommodation for their preferences and desires, but I don't write off a sampling trip for anything unless it's objectively serious. I treat all crewmembers (undergrad, grad, paid) as though I was training them to do my job. If they're good and like the work, by the middle of the field season they can easily take over many of my tasks on an equal basis, which helps me out. For volunteers I keep the trips short and take extra care to provide good food and housing where appropriate, and do any onerous work in the background if possible.","The most important difference I can make is listening to the people I'm working with and making changes as they prefer. The more comfortable they are in how they spend their day, the better the work will go, so I try to identify work and life styles early so I can plan accordingly.","The most difficult problems I've run into were due to lack of attention to detail and supervision by me. When I requested a crew member to navigate while I worked on something else, we sometimes went to the wrong place. When I asked them to fill something in without verifying the first several, we got incorrectly filled forms. The lesson is to give crew jobs to do, but look over their shoulder from time to time to check it, before there's a problem. It's better to correct something as it goes wrong, than to do it over again afterward. This lack of attention also leads to frustration and irritation over the course of the day, which means less smooth work overall.","Initially, having a crew is extra work, not less work. When you're leading, you need to be both training and checking the work that gets done, so it'll feel like it's quicker and simpler to do it yourself anyway. Spend lots of time on the 'training' phase, and verify that they know exactly what they're doing. The crew won't start taking stuff of you're plate until you've shown them everything you know, so give it plenty of time. Afterward, if any of your crew is ambitious, you'll have a colleague, not an employee, and you can work on an equal footing, which is very relaxing. If your crew doesn't want the responsibility, you should at least have a competent worker and you can only check their work every once in a while. Always give opportunities for more responsibility, and encourage them to do more, more independently.","Get first aid training for yourself and your crew if possible. Wilderness first aid (16-hr course) is great both for the medical stuff, and because it teaches a mental framework of responsibility, preparation, and flexibility that's very applicable to all types of fieldwork.","No clue","In general, show your crew what you're doing and tell them why, even when you're doing admin work that doesn't really affect their job. They'll understand the project and what you're asking them to do much better. Always be willing to explain your reasoning, and listen to suggestions. If they disagree even after you've explained, it's fine to take their suggestion, and it's also fine to say 'that would probably work, but I still want to do it my way, just because'"
"2021/11/28 3:06:02 PM CST","Graduate Student",3,7,2,"Remote (1 year) and semi-remote (2 years)","1) Review materials -- ensure that supplies are in working order and that there are sufficient quantities (thinking broadly to include cars, tires, equipment, safety kits); 2) Think through all risk hazards and prepare (ensure that you have necessary emergency kits, know and update protocols, make safety report for staff)","1) Creates an atmosphere in which everyone feels comfortable asking questions, admitting mistakes, reporting incidences of discomfort and 2) Ensuring that there are proper breaks in the field so that everyone stays rested, hydrated, etc.","e 1) Create a clear code of conduct and 2) Create clear job descriptions/expectations","1) Emphasize the importance of respect and rest 2) Emphasize the importance of open communication","Create an exit survey and ask for feedback","I dod not change my strategies.","1) Planning out daily schedules, but being flexible to adjustments based on group's energy, 2) Creating an atmosphere of open communication and emphasizing the importance of asking questions whenever one is unsure","Having a leader that prioritized data collection over student's well-being -- i.e. working through breaks","Make sure that there's open communication!","Reflect on your field experiences -- what made the experience good or bad? why? what can you learn and incorporate from your past experiences?","N/A","N/A"
"2021/11/29 8:08:34 AM CST","Graduate Student",5,10,0,"Remote environments","Having the correct PPE available, conduct field training prior to work, have detailed protocols","","Encourage open communication with your team","Be open and honest with your team","Conduct exit interviews with your team","Same strategy with all team members regardless of paygrade","Communicate regularly about field work and mental health with your team","Lack of communication","You don't have to be friends with your team, but everyone should feel like they can come to you with their questions or concerns. ","Not anything specific that I can think of, but they should take workshops/attend seminars about good leadership.","Your fellow grad students are an amazing resource! They have diverse experiences and are usually always willing to help. Also, talk to field leads/mentors that you enjoyed working for and try to emulate them.","Make sure to have plenty of dry socks and snacks in your field vehicle. Your team will thank you."
"2021/11/29 10:36:21 AM CST","Postdoctoral researcher",2,2,0,"Remote environments","Contact local officials. Hire local consultant(s).","Take time to meet with local officials. Always use the buddy system.","Make local connections. Take time to introduce yourself to local partners.","Be sensitive to cultural norms in interactions. Take time to explain the study fully and answer any questions anyone may have.","Debrief session with field crew.","Instructions are much simpler for unpaid enumerators/volunteers.","Eye contact and discourse with research team to allow them to be invested in project.","Safety around drunk people and trust in the research team in remote location.","Something will go wrong. It always does. Just roll with it and try to plan contingencies.","Dillons Tailored Design Surveys","Library research services","Be sure to answer community questions and be prepared to take time getting to know the community and people and not just extracting data."
"2021/11/29 12:33:11 PM CST","Postdoctoral researcher",3,2,0,"Semi-remote (ie, wildlands near cities)","write/revise field safety SOP, take wilderness first aid, gives safety information to field techs","carries full first aid kit at all times, makes sure techs have enough food/water","interview prospective techs/volunteers to make sure they will be respectful of others","","review the SOP and add safety procedures for any incidents that occurred which were not already covered","paid assistants are required to assume responsibility for their own safety and that of others (i.e. they know the safety SOP by heart and are a backup if anything happens to the field crew leader, whereas volunteers rely on the field crew leader)","being prepared for any emergency situation with a first aid kit and having responsible techs","members of the public can be confrontational and threatening towards students who don't ""look like researchers"" and it can sometimes be better to dress like the public expects to avoid dangerous situations","write a full safety SOP detailing potential dangers/issues and how to avoid or deal with them, including not just natural issues (e.g. bears, poison ivy, ticks) but also people (e.g. poachers or illegal activity)","take a wilderness first aid safety course","department-sponsored wilderness first aid safety training, standard field safety SOP templates that can be adapted",""
"2021/11/29 12:52:53 PM CST","Graduate Student",3,6,0,"Remote environments","Prepare a safety plan (emergency contacts, nearest medical facilities, communication plan, etc.), meet with field crew to go over plan, notify relevant authorities/land owners about field schedule/presence.","Open communication and correcting/reeducating promptly","Prepare a code of conduct, screen field crew for references and ability to work with others, consider a pre-field get together to build rapport","Communication, call-out and take action on inappropriate interactions promptly, be prepared to let members go if somethings arises even if in mid-season","Ask crew for feedback and be open to changing how things are done next season.","I always ask students what types of skills they are trying to build before the season starts so I can try to make adjustments for them to get what they need out of the experience while also helping me out. Sometimes that means more technical skills other times it may be helping them build a small project but can also be as simple as letting them observe and ask questions. Their availability will also shape how much independent work I assign to them. I try to adjust my expectations to the experience of all members of the crew. Paid assistants will be expected to be or become independent and reliably work but I am always open to helping an assistant gain new skills or build a small project.","Communication","Slow or non-existent communication","Be prepared for plans to change and be open to trying new things. Don't burn yourself out trying to do everything if you realize you were too ambitious planning, ask for help! Put your safety (and animal welfare if applicable) first when it comes to collecting data. No data is worth your life or the inhumane treatment of your subjects. Be an advocate for yourself even if those you work for or with are more lax about safety or protocols. Don't force yourself to work in unsafe situations or with people you feel unsafe.","I wish I could remember the title or authors one paper about fieldwork safety I found useful but hopefully someone else will suggest it! But I do want to suggest that if you are in charge how assistants are compensated or have any say in it you should consider reading this paper about some of the inequities caused by volunteer or low paid positions in ecology 
https://doi-org.aurarialibrary.idm.oclc.org/10.1002/wsb.603a
We all know funding can be tight and it's difficult to pay assistants fair wages sometimes but knowing about the inequities this can be useful for adjusting recruitment and expectations (especially on time commitments) to help alleviate it.","Formalized training opportunities (for risk management and leadership) but at least have requirements for safety plans/codes of conduct to be drawn up prior to work being done. ","Have fun! Things can and will go wrong all the time but sometimes those are the most memorable moments (in a good way!) and make great stories. Don't take the work TOO seriously but do take your safety and well-being seriously."
"2021/11/29 12:53:21 PM CST","Faculty Member",8,3,0,"Semi-remote (ie, wildlands near cities)","Consider distance to and accessibility of emergency medical resources. Check with crew members for any physical/health concerns they wish to share in the event of their injury etc (e.g., bee sting allergies). Creating a chain of reporting to others of whereabouts, travel plans, and disseminating other information about work locations.","Check in frequently on crew members physical and mental wellbeings. Rehash and remind about chain of communication for work location reporting. Take into account current and future weather/field conditions to promote careful planning for food, water, PPE etc.","Create and participate in training exercises that everyone participates in. Being to build trust by being open about field preparations and sharing plans. Plan to create space (physical and emotional) for crew members as needs might arise.","Check in with crew members on both good days and bad. Be receptive to feedback, not just for them but yourself. Make time for group and individual discussions.","Yes, if people like to have exit interviews/discussions, make time for that. I've found small thank you gifts for their hard work really mean a lot. Be open about how you appreciated their work/dedication/effort etc.","I don't have exact strategies, but I'm sure there might be differences based on time spent together/tasks performed etc","Having grace for people when they needed it. Being clear in communcation about expectations/plans/protocols/just about everything. Be willing to be flexible with yourself and your crew members and field plans.","Attitudes, unwillingness to compromise, the effects it had on other crew members who were not involved, monotony and boredom, being overworked.","Data is important, but your crew is essential. Trust them and build trust with them, give them grace but be clear about your expectations. Treat them like team members, not your employees.","Safe fieldwork strategies for at-risk individuals, their supervisors, and institutions. Demery and Pipkin 2021. I'm sure there are many others, check with your department, but also possibly with other departments/schools/programs.","There should be more probably. CPR/First Aid should be a minimum requirement. Usually filing an overall safety plan with your dept/program etc is a good idea.","I don't think so"
"2021/11/29 2:57:28 PM CST","Postdoctoral researcher",0,10,0,"Remote environments","training on equipment use, prep first aid kit, knowing the area you are going to and potential hazards there","checking in on hydration/heat exhaustion/etc, taking breaks, maintaining equipment","training together, getting to know everyone, choosing good crew to start with","checking in, time to relax and bons, structure of who is in charge of what","checking in to see how everyone is","","planning!  organization of logistics is crucial","poor weather conditions, natural hazards","plan, make back-up plans, and back-ups to your back-up plans","","",""
"2021/11/29 4:13:11 PM CST","Graduate Student",3,1,0,"Semi-remote (ie, wildlands near cities)","Make sure there are fully stocked first aid kits available at every working location. Ensure all technicians have completed required trainings on lab and field safety and any questions are discussed. Ensure all necessary PPE is acquired and in good condition. ","Make sure entire crew is comfortable enough to speak up if something goes wrong. Hold regular meetings to go over any safety concerns. Make sure first aid kits are always with crew and on hand. ","Hold a meeting before field season to go over expectations, solicit input from crew, and discuss actions to be taken if something goes wrong. ","Hold regular meetings to make sure everyone is comfortable with working environment and talk about anything that could be improved.","Provide an anonymous survey to crew to see what could be improved next field season.","N/A- all should have required trainings completed, should be able to take enough breaks during working hours, and feel comfortable talking about how the experience is going. ","Having a team that was interested in the work, and worked well together. Cultivating a positive team environment can really make a field season. ","Dealing with sexism is difficult, especially when other agency partners don't take your credentials seriously. This can make it hard for technicians to treat you with respect. ","To cultivate a positive team environment, hold regular check-ins with whole crew. ","N/A - I would like to see these.","Not that I know of.","N/A"
"2021/11/29 4:16:05 PM CST","Graduate Student",2,3,0,"Remote environments","wilderness first aid courses for all involved in remote work; list of emergency contacts & hospitals nearby","carry gps with SOS function; buddy system always - no one ever alone","open communication about expectations and conflict management","dedicated time for one-on-one check ins to see how things are going; also checkins with someone other than me","ask for feedback","depends on the person, not the title","frequent communication","lack of communication","check in with people daily, ask specific questions if crew members are not providing details","wilderness first aid from NOLS","",""
"2021/11/29 4:45:52 PM CST","Postdoctoral researcher",3,8,0,"Remote environments","Learn about harassment and bystander intervention; learn about wilderness first aid; prepare first aid and other safety equipment","Situational awareness; attention to the status/health/needs of crew members; avoiding dangerous situations (extending work into the dark, traveling in areas or ways beyond the limits of 'weakest' crew member, bear safety)","Contract outlining expectations etc; Clear communication of expectations; Hire good (safe, inclusive, collaborative) people","Maintain positive and respectful environment; call out teasing, bullying harassment immediately; provide time for rest","Presumably this question refers to safety and interpersonal dynamics. A follow-up evaluaiton / exit interview (wiht feedback going both ways) ","I have only worked with paid assistants and discourage relying on unpaid volunteers","I feel like I ""got lucky"" with people that were hard-working, respectful, professional. Listening and paying attention to crew members, providing breaks and rest. Being organized reduces stress for everyone. ","In my experience very large crews / > 10 participants makes things challenging. Need a clear hierarchy for decision-making. Input can be solicited in a democratic way, but too many cooks can't make decisions efficiently. Losing sight of practical safety considerations (ie hydration) can lead to disaster.","Set reasonable expectations that allow for variability in the performance of your crew. Build in time for rest, days off and hygiene. Insist on safety training and equipment. Carefully select group members for respect and resilience. Have alternative plans. ","","Review existing protocols, field memos, contracts, etc in your lab and update to you needs. Ask for these if they don't exist in your lab, or create them with help from your advisor. ","Safety is more important than data collection. "
"2021/11/30 9:26:35 AM CST","Professional",5,10,0,"Remote environments","set expectations for physical and mental challenges, appropriate gear discussions, gauging crew's comfort level with remote work","Check in with crew, days off work, varying tasks day to day","giving everyone authority to stop work if they feel unsafe, insisting on respectful communications, ","allowing questions, giving learning opportunities to those that want them","listen to feedback","Undergraduates are often looking for more than a job when it comes to field work. They can require more guidance with regards to maintaining consistent professional interactions, work ethic. But they also react positively to learning experiences (learning to drive large truck, operate power tools, chop wood, cook, etc). Can be rewarding if it goes well but also harder if it does not. It is very important that they understand going into the field season how challenging it might be and that we will working and living together. Driving each other a little nutty is normal but that their job is to work hard, learn a lot, and communicate their needs. In my experience paid assistants appreciate a super clear delineation of work/non-work time so there is less guidance once they are ""off"" the clock. They are often be happiest if assigned a task to lead/organize on their own. I think this helps them feel connected to the team in a professional, productive way. If you happen to get along during non-work time it is more of a cherry-on-top rather than integral part of the interaction.","constant communication, lots of planning ahead, setting expectation for flexibility","interpersonal dynamics, conflicting communication styles, time zone differences make communicating in real time with project leadership difficult. ","Be patient with those working for you AND yourself. It is a lot to take on but can be very rewarding, both scientifically and personally. Don't be so stressed you can't take a day off to enjoy a hike/beer/book/call home. The time off is necessary to make it through a long season and campaign. Eat well, no one is at their best if they are living off energy bars and coffee.","","ESWN field guides","InReach Devices that allow you to share a website where the group's location is at all times are pretty great. The emergency beacon is a good safety tool when off the grid (provided you have clear standards and discussions about it's use). The website is really nice for project leaders/ parents of undergrads to follow along too. It allows you to be ""off"" the grid but keeps folks at home invested and aware (and also pre-trip discussion re: the Inreach will helps drive home just how limited other communications will be)"
"2021/12/01 11:34:56 PM CST","Graduate Student",3,3,0,"Remote environments","frequently communicate (verbally, visually) the potential safety risks and what field conditions to expect; develop and share a health and safety plan outlining risks and what actions we will take; ensure everyone has the necessary gear/PPE - provide gear/funds for anyone who needs help acquiring gear","encourage crew members to speak up; frequently check in with how everyone is feeling prior to, during, and after each day; make decisions based on the hesitations/comfort level of the least comfortable person","foster an environment that allows for open and honest communication and feedback; share & discuss materials/research about how field experiences can differ for folks with different identities; meet with the crew prior to the beginning of the season to introduce each other, ask pronouns","model open and honest communication and admit when you make mistakes; rotate duties so everyone gets a chance to work with everyone; check in with everyone collectively and individually periodically to assess and mediate any conflicts","solicit feedback from the crew; celebrate with the crew; thank each crew member and offer opportunity for performance assessment/exit interview; always acknowledge the efforts of the field crew(s) in resulting research/papers/presentations","we ensure that everyone (undergrad, recent grads, grads, etc.) who works for us is paid ","honesty, good communication, openness, consistent encouragement, modeling hard work, flexibility/adaptability, open to feedback","poor communication/miscommunication, inconsistent decisions/standards, making assumptions","The people aspect of a field season can be as challenging or more challenging than the data collection side; honesty is the best policy; make sure you celebrate accomplishments and acknowledge the work you and your crew are putting in; encourage questions; ensure you're putting in the work alongside the rest of your crew","Demery & Pipkin 2021 - Safe fieldwork strategies for at-risk Individuals, their supervisors and institutions; McGill et al. 2021 - You are welcome here: a practical guide to DEI for undergraduates embarking on an ecological research experience; https://serc.carleton.edu/advancegeo/resources/field_work.html; https://www.ucop.edu/safety-and-loss-prevention/environmental/program-resources/field-research-safety/index.html; https://eos.org/opinions/ten-steps-to-protect-bipoc-scholars-in-the-field","safety plan development - see resources from health and safety departments",""
"2021/12/02 4:25:59 PM CST","Graduate Student",2,5,0,"Semi-remote (ie, wildlands near cities)","1. determine risks at each field site & plan to resolve if they come up 2. wilderness first aid training 3. communication plan for daily contact w/ home base","1. review plan daily & discuss potential new safety risks 2. say out loud regularly that safety is our primary concern, above anything else.","1. meet up before season, possibly camping/hiking or potluck 2. make sure that communication guidelines are clear","1. daily check-ins 2. share responsibilities, particularly at camp (ex. cooking, prep, etc.) ","Check in with crew about any concerns that came up, make sure results are communicated","Make sure everything with volunteers is in writing, some can be verbal if paid","Regular contact with logistics coordinator, discussing any concerns clearly.","One member did not feel comfortable sharing concerns, not a sense of being a team","Write everything down - precise methods, notes, daily records, etc.","Wilderness first aid trainings (vary by state, but make sure certified)","",""
"2021/12/03 9:35:40 PM CST","Professional",5,11,0,"Semi-remote (ie, wildlands near cities)","1. Learn and identify hazards specific to field site 2. Learn and identify individual limitations and concerns of the field crew 3. Clearly communicate hazards to the field crewield m","1. Promote open communication about health and safety concerns 2. Encourage staying aware of surroundings 3. Advocate for proper safety trainings and equipment","1. Meetings with field crew, if possible 2. Exchange contact information","1. Provide adequate and appropriate breaks throughout the day to provide time for chatting, etc. 2. Taking time outside of the work day to celebrate milestones as a group 3. Mediate communications between supervisors and field crew","1. Provide field crew with updates on what is happening with the data they worked so hard to collect 2. Offer/provide references ","For volunteers and unpaid/inexperienced undergrads: focus on making sure they were exposed to as many positive experiences as possible, and encouraging tasks they find enjoyable or rewarding. For undergrads getting paid/credit experience: encourage more responsibility, include them in more in-depth conversations about research methods and decisions, introduce them to more complicated techniques, etc. For professional field technicians (paid assistants): acknowledge them as fellow professionals in their field, and facilitate their work by taking care of logistics, safety, and communication, etc.","Checking in with individuals; including everyone in goal-setting; field lead being properly trained and having prior cumulative experiences with living in the field and leading others; field lead caring about the field crew.","Disrespect and negative/not constructive criticism was allowed to trickle-down from higher management to field crew; unprofessional and terrible for morale, especially for those experiencing their first field season.","Communication, preparation, take a WFR course, be flexible, and care about your crew!","""Wilderness First Responder"" courses train leaders to anticipate and avoid potential field hazards through proper planning, how to react to emergencies in the field, and provide practice for open communication about safety and health concerns. ","Unknown","Housing and payment - they have to be receiving adequate compensation (monetary/credit or combination), sufficient food, and safe and preferably comfortable housing so that they can recharge and relax during off hours and are able to safely focus on the project during work hours. Providing or ensuring housing (even in the form of a well-organized remote camp, including equipment and safe water/food) is critical. Not providing adequate payment or housing also means that you will have a homogeneous, privileged field crew who can afford to pay for ""experience""."
"2021/12/08 11:03:25 AM CST","Graduate Student",2,3,0,"Remote environments","Discussing safety protocols,  ensuring all members are up to date on immunizations, allergy records, etc., receiving/updating first aid training","Ensure all team members have breaks and time to rest so no one is overworked, regularly review safety procedures during the field season, train all field crew members in field techniques prior to implementing techniques, including any safety measures associated with those techniques","","Foster a collaborative, non-competitive working environment, regularly meet with each team member individually to ensure that everyone on the team feels safe and productive, create an environment where field crew members can feel comfortable bringing problems and concerns to the leader as they occur","Follow up with field team members to review experiences and receive feedback on how to improve in the future, regardless of whether those members will continue working with the leader or not","","Individual attention for each crew member to ensure everyone was receiving the experiences and training they wanted, adjusting work schedules/plans to accommodate crew member needs as issues arose, creating a strong atmosphere of collaboration and teamwork","Lack of awareness of crew member situations, lack of flexibility for different members' needs, little relationship building among team members","Transparency and collaboration builds trust and enhances training for field crew members. As problems arise, discuss them with your team rather than trying to figure them out on your own without telling anyone. Let crew members see your process of inquiry and participate in troubleshooting. Be receptive to feedback from crew members about how to improve workflow, procedures, teamwork, etc. ","","",""
"2021/12/08 4:48:31 PM CST","Faculty Member",5,9,3,"Urban areas","Safety training (reading, discussion of scenarios that may be encountered in the field, first aid training at the level necessary for the field situation), preparing appropriate gear (including appropriate clothing and first aid kit)","Regular check-ins with all field team members re: physical condition, keeping days to a reasonable length (especially if driving significant distances or in difficult conditions), always going out in pairs or groups","Safety training (reading, role-playing potential interactions and encounters), ensuring all permits are up to date and that all team members have appropriate documentation for all sites where they will be working, contacting relevant stakeholder to mitigate potential bad encounters or confusion in the field","Regular check-ins with all field team members, ensuring field crew members always go out in pairs or groups, bringing relevant information (permits, science communication information, etc) into the field each day","A debrief to discuss any adverse or unsafe interactions or situations in the field, and how these could be better dealt with in the future, a follow top with all relevant stakeholders to ease future interpersonal interactions","I strongly advocate against volunteer field assistants, as this is a known barrier to EDI in STEM fields. I do not accept volunteer field assistants in my research program. ","Strong communication and organization skills","Negative interpersonal interactions with stakeholders in the field (common in urban environments). ","Get to know your study system well, including any potential stakeholders you will encounter. Have a safety plan (including for personal interactions). Prioritize strong and consistent communication throughout the field season","https://www.nature.com/articles/s41559-020-01328-5; https://academic.oup.com/jue/article/5/1/juz001/5307771; https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0102172","Ensuring that a discussion about safe fieldwork practices occurs before students go into the field, including aspects such as sexual assault, racism, and interpersonal conflict that are common in the field. ",""
"2021/12/09 12:43:48 PM CST","Faculty Member",4,7,1,"Semi-remote (ie, wildlands near cities)","Visits the field sites to note any hazards; Gets familiar with local flora and fauna, noting anything potentially dangerous; Preps for teaching about field safety","Before first field visit, run a lecture/seminar/discussion on field safety; if possible, have a field safety manual; set clear expectations (for example, no one will ever be alone in the field, no exceptions)","Establish working, professional relationships with each member of the field crew; provide them space to voice concerns; ask about prior experience and knowledge","Check in with each field crew member; give them a place to voice concerns; listen to concerns and to what is going well-- adjust as needed","Follow up with members, especially if they need or will need letters of rec; ask for feedback on the field season and use that for the next field crew","Generally volunteers aren't given as much flexibility (I'm stricter with overseeing their work), but students are allowed to try things, make mistakes, take ownership of their projects. Volunteer schedules are more set, student schedules are more flexible","Motivated field crew, Clear goals and expectations, Proper safety training, Good interpersonal connections between field crew members (we had fun), Student researchers were able to take ownership of their projects from start to finish.","Weather issues (can't control that), crew members who didn't mesh well with others, General high stress and not enough down time for crew members","Plan but know that you can't plan for everything-- so roll with the punches when you need to. Have high expectations for your crew members, Don't be afraid to hand over some responsibilities. Know that you will make mistakes--that's ok, Keep notes, Keep data organized, Plan a timeline of projects from the beginning of the season and try to stick to it","Not specific ones--but talk to your advisors or mentors or others with experience, ask what has worked and what has failed, ","Field safety training for the whole dept would be ideal. Clear expectations from the dept about how much leadership grad students should have and how much mentoring needs to take place from advisors is also necessary (but that's a bigger problem)","In science, we rarely have the opportunity to train to lead people, but it's a huge part of your job. Start early, know you'll make mistakes, be confident and cautious, ask questions, if you think it's unsafe, it probably is"
"2021/12/10 3:25:32 PM CST","Postdoctoral researcher",4,1,0,"Remote environments","Take a wilderness first aid course; Become familiar with sexual assault resources","Hold a safety talk with field crew participants to explain common dangers and the resources and protocols in place to respond to those dangers; Have regular check-ins with field crew participants about their comfort levels in the field/at the field station","Stay informed about how to promote a sense of belonging; Send a document to future field crew participants with conduct expectations and policies","Set expectations with field crew participants (perhaps by co-creating an agreement) about acceptable conduct at the beginning of the field season; Foster a sense of community by doing wholesome, non-research activities together; Have regular check-ins with field crew participants about their comfort interacting with other people on the field crew/at the field station","Follow up with field crew participants to see how they are doing","I treat all of the people on my field team the same","Lots of positive feedback; Built a trusting community; Goofy times in the field; Days scheduled for rest and fun","Lack of communication; Exclusionary behavior; Constant criticism; Lack of sleep; Expectations to be working all the time","Check in with your field crew often about how they are doing; Be positive with your feedback; Be intentional about building an inclusive community; Schedule off days","","",""
